A_kept,Aprime_heldout,B_gender,B_race,B_age,kind,param,k,seed,sec
0.8025657837188864,0.6073744769874477,0.570503810455772,0.38313012253796,0.34412555861180893,vib,0.001,2,0,39.8
0.8459673770958448,0.6044586820083682,0.5788920024908816,0.3998157994422304,0.36781199261653147,vib,0.001,3,0,37.4
0.8487934636624719,0.7588912133891214,0.5850739851140172,0.44039183873297016,0.39545054407451447,vib,0.001,4,0,38.9
0.8486138256108366,0.7651804393305439,0.6070671351896332,0.47001271536621897,0.42031964536271105,vib,0.001,5,0,40.9
0.8478527137327431,0.7443122384937239,0.6241677292451244,0.5075465408348733,0.4776192784579029,vib,0.001,6,0,42.6
0.850844528858502,0.8047855648535565,0.6335858810505195,0.5456873593929056,0.5573062953092169,vib,0.001,8,0,46.9
0.8456901452847335,0.7880753138075314,0.6899942175962993,0.5813053369319898,0.5693758144227945,vib,0.001,10,0,49.9
0.8484238333755927,0.8319168410041842,0.6917054631359408,0.5909059942866094,0.5878220719094951,vib,0.001,12,0,54.9
0.8487551636413875,0.8142390167364016,0.7323088100109718,0.6203417513313395,0.623953960153667,vib,0.001,16,0,50.8
0.8499869310089364,0.8466265690376569,0.828388389724125,0.6698993027567361,0.6891679199999228,vib,0.001,24,0,58.2
0.8482762728682205,0.8695214435146443,0.832434342535757,0.6955112370476785,0.674494686486241,vib,0.001,32,0,64.9
0.8442749440746411,0.8820083682008368,0.8391634295090393,0.7534982009766097,0.6973443306387608,vib,0.001,48,0,79.2
0.8454517776174066,0.8841134937238494,0.8731874388399608,0.7550862274014309,0.7086455434867783,vib,0.001,64,0,92.1
0.8576256245548028,0.8967050209205021,0.8861321155689984,0.7570409139769079,0.7341340451389525,vib,0.001,96,0,117.3
0.8517110341142755,0.8977248953974895,0.8946151983315047,0.7750061963070304,0.7414723483374351,vib,0.001,128,0,143.7
0.8601058424246956,0.9102771966527197,0.9015214640848481,0.7813198397038761,0.7480531499344848,vib,0.001,192,0,203.9
0.8576167093288707,0.9008760460251046,0.9031808162579447,0.7893099728211522,0.7616867506179963,vib,0.001,256,0,263.1
0.8019694969970894,0.6105387029288702,0.571454200397355,0.38561977006302267,0.3456969540400171,vib,0.003,2,0,35.2
0.8443518213564369,0.6064853556485356,0.5771501151538514,0.40003153833531285,0.3670222159719897,vib,0.003,3,0,36.5
0.8535943247774755,0.7568122384937239,0.5839891666419554,0.4299920536582087,0.3893441789912517,vib,0.003,4,0,38.5
0.847474921095903,0.7704105648535565,0.6087751682827744,0.48209798477029814,0.435869586130067,vib,0.003,5,0,39.5
0.8539825161752624,0.7494769874476988,0.63195099289308,0.49468474313591093,0.4713956665413074,vib,0.003,6,0,42.1
0.8476633649086557,0.8100810669456067,0.6583750951378387,0.516873874982358,0.5555257665052851,vib,0.003,8,0,45.2
0.8453786139193532,0.8016736401673641,0.6452379187300458,0.5402475704752256,0.5382779007166159,vib,0.003,10,0,48.3
0.8453475602794637,0.8319560669456068,0.6862507289782442,0.5429776224442694,0.5610645633226083,vib,0.003,12,0,52.1
0.8408554790289606,0.8101072175732218,0.6929247101384812,0.5887513714802749,0.5856776908363149,vib,0.003,16,0,48.9
0.8483236767174759,0.8538572175732217,0.7388177208433413,0.6281059014863316,0.6380142323339627,vib,0.003,24,0,55.6
0.8423344072590231,0.8611401673640167,0.7715950538208345,0.6727265491898488,0.6427753615852956,vib,0.003,32,0,62.2
0.8455614834126475,0.8747646443514645,0.7863579752691041,0.6833087780510709,0.6467275383875472,vib,0.003,48,0,75.5
0.8461626692578884,0.8736663179916317,0.8302738487085966,0.6837570783902595,0.6574797422909209,vib,0.003,64,0,89.3
0.8533917433371393,0.8779419456066946,0.8499597208631102,0.7224712298778839,0.6818699914722515,vib,0.003,96,0,115.4
0.8480118567850067,0.8955936192468619,0.8574741274501083,0.7412042077216933,0.7043760279844495,vib,0.003,128,0,142.8
0.8537162394280733,0.9008760460251046,0.8829295535193586,0.7349626717333336,0.7155954828076392,vib,0.003,192,0,196.9
0.8477125882805451,0.9081459205020921,0.8858234735936897,0.742830463116003,0.7232419279297138,vib,0.003,256,0,257.2
0.7991689690393502,0.6147620292887029,0.5788769287034566,0.3828398902188039,0.34444985412049134,vib,0.01,2,0,35.7
0.8457585240741402,0.6065115062761506,0.5688931392027202,0.40342821877968804,0.36746247585593017,vib,0.01,3,0,36.5
0.8496060746297329,0.7672071129707113,0.5864644802261563,0.42103062321100904,0.3826278292484586,vib,0.01,4,0,37.8
0.8443691096797563,0.7557923640167363,0.584309917069458,0.4725191854443052,0.43813128378390465,vib,0.01,5,0,39.6
0.848312671012248,0.7692991631799163,0.6403913254060039,0.45622311811537486,0.43958556305401864,vib,0.01,6,0,42.8
0.8432206702021292,0.7829628661087866,0.6599244827961135,0.46710353896010326,0.5025676013008628,vib,0.01,8,0,48.0
0.8405894337055916,0.8172986401673641,0.6193730292876276,0.4704366549927181,0.5085732598622715,vib,0.01,10,0,56.9
0.8470819448612101,0.8131668410041841,0.6409841453409642,0.4730972339575524,0.5094481109393671,vib,0.01,12,0,53.6
0.8422016309998387,0.840258891213389,0.676477972501458,0.5090538453492238,0.5309662144127144,vib,0.01,16,0,48.5
0.8470613724084306,0.860185669456067,0.6829503108659767,0.5407860652899766,0.5602928044394642,vib,0.01,24,0,55.3
0.8445292973127871,0.8830543933054393,0.7000662258201623,0.5624014840999289,0.5690472745225027,vib,0.01,32,0,62.1
0.8405752598376818,0.8934884937238494,0.7457575937293044,0.5960246982476191,0.5747502429118059,vib,0.01,48,0,75.5
0.8415733190553245,0.8914225941422594,0.7711732348842038,0.6471120821073663,0.5999012237953808,vib,0.01,64,0,89.4
0.8541224750911173,0.8987186192468619,0.8108568336150401,0.6777076469251861,0.637829035945145,vib,0.01,96,0,114.9
0.8520055954617881,0.8997907949790795,0.820323913451749,0.710369314802211,0.6925210824036805,vib,0.01,128,0,142.2
0.8513212213677986,0.8987578451882845,0.8691170220126718,0.7316447336327868,0.7071059984869992,vib,0.01,192,0,196.0
0.8416318475745872,0.910211820083682,0.8823458767013611,0.7617955206862795,0.7071704491073303,vib,0.01,256,0,259.4
0.7998557713560117,0.6093096234309623,0.576630687265862,0.386968001720281,0.3433872710333032,vib,0.03,2,0,35.2
0.8507870418540403,0.6367024058577406,0.5707877413041544,0.3911985614406415,0.3698306293079236,vib,0.03,3,0,37.0
0.8551693821601882,0.7776542887029289,0.59208428471172,0.4183069878980962,0.3850501761231128,vib,0.03,4,0,37.9
0.8480115620822094,0.7922201882845188,0.5948618153782286,0.45622962509393816,0.413101570576974,vib,0.03,5,0,39.3
0.850365367056933,0.8037264644351465,0.6088792021271339,0.439487206884984,0.42384925028562115,vib,0.03,6,0,41.2
0.8475423283024821,0.7911741631799163,0.6283634314859294,0.4522381714325938,0.4415208142392153,vib,0.03,8,0,45.0
0.8433484649117059,0.7859571129707112,0.6189756743666539,0.44879159160778453,0.3971549086673482,vib,0.03,10,0,50.8
0.849179832245109,0.8350549163179917,0.6074580652176061,0.467536209755062,0.4497595726334212,vib,0.03,12,0,55.7
0.844204555551862,0.820397489539749,0.6402932222321067,0.4872046269231556,0.473481536206959,vib,0.03,16,0,47.7
0.8473742936986811,0.8642390167364017,0.6711883086716286,0.5187993987024927,0.49674311786673064,vib,0.03,24,0,55.0
0.8430594508450003,0.8777850418410041,0.6768874358746256,0.5474456473661253,0.5149608394518634,vib,0.03,32,0,61.5
0.8408631421436986,0.881053870292887,0.7668156747620318,0.6056599189863481,0.5870900883562807,vib,0.03,48,0,75.3
0.8488553615125859,0.8842442468619247,0.765464964564244,0.599857165610869,0.6109257123377501,vib,0.03,64,0,88.5
0.8530263051173155,0.8955936192468619,0.7983124771422077,0.6513517079418731,0.613526887873632,vib,0.03,96,0,114.7
0.8451567454590483,0.8851987447698745,0.8299315996006682,0.6674816911349005,0.6716075566150261,vib,0.03,128,0,141.7
0.858317568598933,0.9019482217573223,0.8625530053672568,0.7172682099262833,0.7223048188342946,vib,0.03,192,0,195.9
0.8400679844993413,0.8924816945606695,0.8846225128250749,0.7554122876187493,0.710370391122283,vib,0.03,256,0,257.9
0.8047494795407006,0.6178608786610879,0.5687342466565846,0.3766849282818436,0.32945796698320146,vib,0.1,2,0,36.0
0.857152564955066,0.6243200836820084,0.5800929632594964,0.3972776788784778,0.3788962631448819,vib,0.1,3,0,36.5
