dataset,target,target_type,family,cfg,seed,note,method,k,compat_on_U,compat_on_Uhat,test_bal
rafdb,compat_A,compat,tree,depth=None,0,compat_5fam,leace2attr,768,0.7796156926793587,0.7553962453288351,0.7553962453288351
rafdb,compat_A,compat,tree,depth=6,0,compat_5fam,lda_shrink,4,0.778845624362251,0.8468553311685814,0.8468553311685814
rafdb,compat_A,compat,tree,depth=6,0,compat_5fam,vib_b1,4,0.778845624362251,0.8336280248333816,0.8336280248333816
rafdb,compat_A,compat,tree,depth=6,0,compat_5fam,adv2attr_lam03,4,0.778845624362251,0.8105703760591727,0.8105703760591727
rafdb,compat_A,compat,tree,depth=6,0,compat_5fam,leace2attr,768,0.778845624362251,0.750583216643297,0.750583216643297
rafdb,compat_A,compat,knn,k=15,0,compat_5fam,lda_shrink,4,0.6683565184802756,0.7340507358176069,0.7340507358176069
rafdb,compat_A,compat,knn,k=15,0,compat_5fam,vib_b1,4,0.6683565184802756,0.6718808186863192,0.6718808186863192
rafdb,compat_A,compat,knn,k=15,0,compat_5fam,adv2attr_lam03,4,0.6683565184802756,0.6455922410470818,0.6455922410470818
rafdb,compat_A,compat,knn,k=15,0,compat_5fam,leace2attr,768,0.6683565184802756,0.668158845591607,0.668158845591607
rafdb,compat_A,compat,knn,k=50,0,compat_5fam,lda_shrink,4,0.60532359754758,0.7187226717838822,0.7187226717838822
rafdb,compat_A,compat,knn,k=50,0,compat_5fam,vib_b1,4,0.60532359754758,0.6618309977228563,0.6618309977228563
rafdb,compat_A,compat,knn,k=50,0,compat_5fam,adv2attr_lam03,4,0.60532359754758,0.6297846364743277,0.6297846364743277
rafdb,compat_A,compat,knn,k=50,0,compat_5fam,leace2attr,768,0.60532359754758,0.6174879271327098,0.6174879271327098
rafdb,compat_A,compat,lr,wd=1e-05,1,compat_5fam,lda_shrink,4,0.8504888888817904,0.8748271573304447,0.8748271573304447
rafdb,compat_A,compat,lr,wd=1e-05,1,compat_5fam,vib_b1,4,0.8504888888817904,0.8589484384693323,0.8589484384693323
