d,r,f,form,real_params,nbits_requested,nbits,src_bytes,compile_s,nonlinear,linear,pub_out,priv_in,wires,constraints,r1cs_bytes,wasm_bytes,setup_s,zkey_bytes,vkey_bytes,witness_s,prove_s,proof_bytes,verify_ms,stage_failed,note
768,3,16,tap_full,False,48,48,159731,8.084,68673,0,769,769,68672,68673,42852404,4825061,83.34,76084212,143488,0.699,3.996,805,12.071,,
64,4,16,tap_full,False,48,48,15843,2.51,6306,0,65,65,6304,6306,4064364,4085519,17.91,6877008,14643,0.267,0.865,804,5.854,,
128,4,16,tap_full,False,48,48,30202,2.915,11814,0,129,129,11812,11814,7417116,4162938,21.88,12744400,26357,0.29,1.172,805,6.235,,
192,4,16,tap_full,False,48,48,45331,3.831,17322,0,193,193,17320,17322,10769868,4240662,31.07,19136080,38055,0.323,1.802,803,7.554,,
256,4,16,tap_full,False,48,48,60701,4.077,23439,0,257,257,23437,23439,14798568,4321109,31.98,25388976,49778,0.286,1.63,807,7.328,,
384,4,16,tap_full,False,48,48,90418,5.339,34455,0,385,385,34453,34455,21504072,4475565,43.1,38172336,73199,0.623,2.25,803,8.686,,
512,4,16,tap_full,False,48,48,120698,6.051,46080,0,513,513,46078,46080,28885524,4632553,55.79,49768336,96642,0.688,2.787,805,9.611,,
640,4,16,tap_full,False,48,48,150390,7.164,57096,0,641,641,57094,57096,35591028,4783292,62.78,60454544,120035,0.665,2.96,802,10.617,,
768,4,16,tap_full,False,48,48,180627,9.064,68721,0,769,769,68719,68721,42972480,4938119,83.79,76244848,143502,0.645,4.195,806,11.855,,
768,4,16,tap_full,True,,45,175265,8.58,66405,0,769,769,66403,66405,42536604,4826049,81.68,75027604,143464,0.651,4.14,803,11.838,,
768,4,16,tap_full,True,48,48,175267,8.335,68721,0,769,769,68719,68721,42999804,4835313,83.55,76278244,143501,0.668,3.916,806,11.721,,
896,4,16,tap_full,False,48,48,210403,9.446,79737,0,897,897,79735,79737,49677984,5089456,90.44,86931056,166900,0.719,4.53,806,13.373,,
1024,4,16,tap_full,False,48,48,240873,10.664,91362,0,1025,1025,91360,91362,57059436,5243800,97.24,98527056,190283,0.693,4.667,805,13.828,,
768,6,16,tap_full,False,48,48,222564,8.829,68817,0,769,769,68813,68817,43212632,5161475,89.9,76566120,143477,0.721,4.097,806,11.997,,
768,8,16,tap_full,False,48,48,264493,9.093,68913,0,769,769,68907,68913,43452784,5379631,83.72,76887392,143497,0.67,3.896,806,12.725,,
768,12,16,tap_full,False,48,48,349806,9.945,69105,0,769,769,69095,69105,43933088,5798384,88.43,77529936,143444,0.794,4.463,804,13.114,,
768,16,16,tap_full,False,48,,,,,,,,,,,,,,,,,,,generate,--nbits 48 는 필요한 49 보다 작다
768,16,16,tap_factored,False,49,49,406475,4.208,38416,0,768,768,38401,38416,9340416,2100393,33.54,26994344,143277,0.191,2.218,806.0,13.195,,
768,16,16,tap_direct,False,49,49,8769671,97.541,37632,0,768,768,37633,37632,49883328,28005718,65.14,76320040,143262,0.087,,,,witness,WASM 함수 크기 한계 초과
768,16,16,tap_full,False,49,49,436783,10.604,70081,0,769,769,70067,70081,44570192,6199312,86.1,78595840,143432,0.667,4.075,806.0,14.031,,
