dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=256,seed=0",1.0,1.0,0.8940677966101694,0.8029303397047003,1.4374942779541016
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=256,seed=1",1.0,1.0,0.8953715775749674,0.8047801920437062,1.4925057888031006
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=1024,seed=0",1.0,1.0,0.8986310299869622,0.8107805520839753,2.859291315078736
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=1024,seed=1",1.0,1.0,0.8999348109517601,0.8078715789033323,3.0061659812927246
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,rff,gamma x0.5,0.8846874745334529,0.879868540768828,0.871251629726206,0.8395067662077075,0.6420001983642578
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,rff,gamma x2.0,0.9092168527422378,0.923333708203696,0.8578878748370273,0.8115348309530249,0.4650008678436279
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,tree,"depth=None,it=37",0.9620242848993562,0.963502735736817,0.8865710560625815,0.8077279474187358,67.50849151611328
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,tree,"depth=6,it=37",0.9578681444055088,0.9616924918863218,0.885593220338983,0.8142645329226431,68.30209136009216
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,knn,k=15,1.0,1.0,0.8842894393741851,0.7126264836767305,1.863538265228272
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,knn,k=50,1.0,1.0,0.8735332464146024,0.6659997032456485,1.8984601497650144
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=1e-05,0.8309021269660174,0.8866169701192537,0.7601043024771839,0.7565122059213225,0.3141705989837646
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=0.001,0.8309021269660174,0.8866169701192537,0.7601043024771839,0.7565122059213225,0.1834998130798339
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=0.1,0.830413169260859,0.8858885341618621,0.7633637548891786,0.7587986287877089,0.1857244968414306
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=256,seed=0",1.0,1.0,0.7988917861799217,0.7536254586768754,1.5400028228759766
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=256,seed=1",1.0,1.0,0.7940026075619296,0.7471938213701159,1.5339956283569336
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=1024,seed=0",1.0,1.0,0.803129074315515,0.7499967044941551,2.9065043926239014
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=1024,seed=1",1.0,1.0,0.795632333767927,0.7475533338917982,3.021406412124634
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,rff,gamma x0.5,0.8197375926982317,0.8623800020453384,0.7803129074315515,0.7918802292439528,0.7719647884368896
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,rff,gamma x2.0,0.8510308858283758,0.8962859110813284,0.7601043024771839,0.7630221459110718,0.4345133304595947
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,tree,"depth=None,it=34",0.9327683155407056,0.9458752928166724,0.7858539765319427,0.7468129936556974,71.65452218055725
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,tree,"depth=6,it=33",0.9198924293048651,0.9361480985087915,0.7822685788787483,0.743679947400417,68.64817976951599
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,knn,k=15,1.0,1.0,0.7894393741851369,0.6924107886999872,1.840999841690064
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,knn,k=50,1.0,1.0,0.7790091264667536,0.6553246814197251,1.849001407623291
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,lr,wd=1e-05,0.946824070204764,0.9673789483570724,0.9024691358024692,0.8552771481540301,0.1680002212524414
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,lr,wd=0.001,0.946824070204764,0.9673789483570724,0.9024691358024692,0.8552771481540301,0.1684999465942382
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,lr,wd=0.1,0.9453614709569578,0.9668823701608612,0.902880658436214,0.856323272242512,0.1665000915527343
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,mlp,"h=256,seed=0",0.9693898871709152,0.9820560466651668,0.91440329218107,0.8579909373796248,1.249499797821045
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,mlp,"h=256,seed=1",0.9694943585457584,0.9822472704308468,0.9139917695473252,0.8544731256984971,1.2714998722076416
