f,seed,target,n_classes,chance_balanced,abs_err,rel_err,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.9367948182198078,0.9207299970528634,0.9131687242798354,0.8898094490565829,8.592502117156982
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.9367948182198078,0.9205810461731094,0.9131687242798354,0.8898094490565829,0.30899858474731445
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.9333472628499792,0.9182968549326673,0.9094650205761317,0.8902740073924782,0.29649877548217773
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.9412870873380693,0.9355844535260054,0.9135802469135802,0.8882112151093684,1.7714998722076416
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.9386753029669871,0.9360302883901228,0.9127572016460905,0.8947716278850661,1.9775006771087646
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.941496030087756,0.9413634738741384,0.9106995884773662,0.892674333271018,2.5750010013580322
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.9446301713330547,0.9413433991283713,0.9131687242798354,0.8837030293194909,2.444498062133789
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.937944003343084,0.9236014707349367,0.9148148148148149,0.8975840634216612,0.502500057220459
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.9388842457166736,0.9278447172205755,0.9119341563786009,0.9005299900180368,0.4850037097930908
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=27",0.9851650647722524,0.981029605881458,0.917283950617284,0.8794805245095694,114.77450013160706
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=27",0.9727329711659005,0.9744771940897653,0.9176954732510288,0.8870372216293543,124.64950203895569
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.9197530864197531,0.8702330823605043,1.4149987697601318
16,0,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.9213991769547325,0.8676581331542966,1.5045006275177002
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.7869581326417192,0.79396859039585,0.7946708463949843,0.7922855648535565,0.30300164222717285
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.7869581326417192,0.79396859039585,0.7946708463949843,0.7922855648535565,0.2884979248046875
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.7836235642830678,0.7912530768548738,0.7931034482758621,0.795397489539749,0.28600001335144043
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.7876991478325306,0.8015944054369379,0.7946708463949843,0.7922855648535565,0.8434994220733643
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.798443868099296,0.8115807258351664,0.8009404388714734,0.8006276150627616,0.844001293182373
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.7921452389773991,0.8095175266379282,0.7899686520376176,0.7995423640167364,0.8749988079071045
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.7799184883290108,0.8114294339431452,0.774294670846395,0.7932400627615064,0.9255011081695557
16,0,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.7843645794738792,0.7926477769943437,0.8040752351097179,0.804798640167364,0.6265017986297607
