f,fac_abs_max,fac_rel_l2,dir_abs_max,dir_rel_l2,ratio
4,0.7101842165915278,0.13027770537079972,1.0240674347940915,0.17184747585996865,1.3190858356834885
8,0.04211335052558868,0.008264532131010227,0.10656227261337572,0.03992854767232905,4.831313744006017
12,0.0025414202906399973,0.0005080560615432668,0.006748124322071836,0.0024423927136104184,4.807329148266486
16,0.00016015406367603235,3.202478469132892e-05,0.00043457454147544095,0.00014226168663495598,4.442237098739183
20,1.0167324653920229e-05,2.049328495753207e-06,2.6256064583007888e-05,9.154635446746375e-06,4.467139097376234
24,6.458070588299947e-07,1.2754707705664264e-07,1.5854176259044728e-06,5.536742152120105e-07,4.34094005122617
