dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,mlp,"h=256,seed=1",1.0,1.0,0.8673402868318123,0.7550839843943612,1.4441804885864258
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,mlp,"h=1024,seed=0",1.0,1.0,0.8738591916558018,0.7608474174042943,3.35520339012146
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,mlp,"h=1024,seed=1",1.0,1.0,0.8741851368970013,0.7639169612890324,3.359903573989868
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,rff,gamma x0.5,0.8593431668160704,0.8637660582630655,0.8373533246414603,0.8077333328937643,1.198258638381958
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,rff,gamma x2.0,0.8839540379757151,0.9074849285931058,0.8269230769230769,0.7825159119335511,0.40900206565856934
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,tree,"depth=None,it=39",0.9514302012875886,0.9543037168907048,0.8640808344198174,0.778556970584415,87.77924060821533
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,tree,"depth=6,it=42",0.9521636378453264,0.9537447915870588,0.8689700130378096,0.7793912864188233,85.38538885116577
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,knn,k=15,1.0,1.0,0.8526727509778357,0.6326900057874851,2.3144783973693848
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_race,knn,k=50,1.0,1.0,0.8393089960886571,0.5772618123884005,2.4090685844421387
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,lr,wd=1e-05,0.8384809713959742,0.8956472748968783,0.7108865710560626,0.7232894131435991,0.45795249938964844
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,lr,wd=0.001,0.8383994784451145,0.8955431082302118,0.7108865710560626,0.7232894131435991,0.178999662399292
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,lr,wd=0.1,0.8361991687719013,0.8928469497314573,0.71251629726206,0.7267282263226085,0.18816018104553223
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,mlp,"h=256,seed=0",1.0,1.0,0.7750977835723598,0.7177240998567402,1.4792468547821045
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,mlp,"h=256,seed=1",1.0,1.0,0.7832464146023468,0.7295600617517842,1.427464485168457
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,mlp,"h=1024,seed=0",1.0,1.0,0.7855280312907431,0.7270422504568684,3.367854356765747
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,mlp,"h=1024,seed=1",1.0,1.0,0.7790091264667536,0.7224177250643988,3.368922710418701
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,rff,gamma x0.5,0.7859995110422948,0.8341664638192879,0.742503259452412,0.7613669913694304,1.401263952255249
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,rff,gamma x2.0,0.8220193953223046,0.8720572324029412,0.7350065189048239,0.7338602692033823,0.4079928398132324
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,tree,"depth=None,it=33",0.9229891614375356,0.93856672412722,0.7509778357235984,0.6984545671372873,91.34282875061035
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,tree,"depth=6,it=36",0.9164697253687556,0.9340467093499762,0.7509778357235984,0.7070105753127928,87.91742897033691
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,knn,k=15,1.0,1.0,0.7721642764015645,0.6480775800794436,2.386223554611206
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_age,knn,k=50,1.0,1.0,0.766297262059974,0.6341212256030364,2.4710888862609863
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,lr,wd=1e-05,0.9907373101148573,0.9936932391523714,0.8369905956112853,0.8122123430962342,0.4263899326324463
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,lr,wd=0.001,0.9907373101148573,0.9936932391523714,0.8369905956112853,0.8122123430962342,0.17000603675842285
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,lr,wd=0.1,0.9888847721378288,0.9924318869828457,0.8385579937304075,0.8132583682008367,0.15602684020996094
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,mlp,"h=256,seed=0",1.0,1.0,0.8620689655172413,0.8143959205020921,0.5089404582977295
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,mlp,"h=256,seed=1",1.0,1.0,0.8636363636363636,0.813362970711297,0.49115538597106934
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,mlp,"h=1024,seed=0",1.0,1.0,0.8605015673981191,0.811270920502092,0.8447363376617432
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,mlp,"h=1024,seed=1",1.0,1.0,0.8636363636363636,0.817520920502092,0.842139720916748
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,rff,gamma x0.5,0.9155242682474991,0.9242340760006024,0.822884012539185,0.8048770920502093,0.8725411891937256
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,rff,gamma x2.0,0.9755464987032234,0.9815698328189408,0.799373040752351,0.7559231171548118,0.2754783630371094
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,tree,"depth=None,it=39",0.9644312708410523,0.9566436140044219,0.8197492163009404,0.7736793933054393,70.36125206947327
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,tree,"depth=6,it=47",0.968506854390515,0.9607538276848682,0.8307210031347962,0.7872384937238494,69.00897574424744
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,knn,k=15,1.0,1.0,0.822884012539185,0.7279550209205021,0.2472693920135498
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,Aprime_heldout,knn,k=50,1.0,1.0,0.8213166144200627,0.7185930962343097,0.26210522651672363
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,lr,wd=1e-05,0.9041997492687004,0.8765074745805302,0.8452674897119341,0.7798194253145325,0.21760773658752441
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,lr,wd=0.001,0.9041997492687004,0.8765074745805302,0.8452674897119341,0.7798194253145325,0.20752358436584473
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,lr,wd=0.1,0.9041997492687004,0.8754109368065921,0.8440329218106996,0.7756502758022854,0.1897273063659668
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,mlp,"h=256,seed=0",0.9002298370246552,0.8845034583655689,0.8386831275720165,0.785823315777346,1.2506918907165527
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,mlp,"h=256,seed=1",0.9012745507730882,0.886259167389522,0.8358024691358025,0.782171057383797,1.2004363536834717
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,mlp,"h=1024,seed=0",0.9056623485165065,0.8917166159955695,0.8403292181069959,0.7841275243109815,1.2470002174377441
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,mlp,"h=1024,seed=1",0.9053489343919766,0.8926360705881168,0.8403292181069959,0.7866868650753307,1.2066452503204346
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,rff,gamma x0.5,0.899080651901379,0.8797537209148436,0.839917695473251,0.7829183708427014,0.28200507164001465
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,rff,gamma x2.0,0.9035729210196406,0.8916315443594522,0.837037037037037,0.7759161721279981,0.29021620750427246
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,tree,"depth=None,it=32",0.940451316339323,0.9469575468593211,0.8506172839506173,0.772745601896043,0.5121347904205322
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,tree,"depth=6,it=41",0.9277058086084413,0.9349577021526707,0.8506172839506173,0.7758807789601556,0.6420543193817139
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,knn,k=15,1.0,1.0,0.8711934156378601,0.7711110775138595,0.12599992752075195
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,A_kept,knn,k=50,1.0,1.0,0.8753086419753087,0.7692623083287838,0.19208645820617676
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,lr,wd=1e-05,0.570275197499783,0.5593247924223912,0.5639595677936563,0.554389684587176,0.19096946716308594
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,lr,wd=0.001,0.570275197499783,0.5593247924223912,0.5639595677936563,0.554389684587176,0.20180201530456543
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,lr,wd=0.1,0.5700147582255404,0.559071532398991,0.564308121296619,0.5546066482815882,0.20176243782043457
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,mlp,"h=256,seed=0",0.6013542842260613,0.5935109912329237,0.5691878703380969,0.5645200110705848,1.425049066543579
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,mlp,"h=256,seed=1",0.5956246201927251,0.588876775502482,0.5751132798884628,0.5725172730777215,1.4220554828643799
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,mlp,"h=1024,seed=0",0.625141071273548,0.6059512293379264,0.5747647263855001,0.5590069586533425,1.4646592140197754
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,mlp,"h=1024,seed=1",0.6222762392568799,0.6067920323253002,0.5768560474032765,0.5649843331455288,1.450566291809082
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,rff,gamma x0.5,0.5870301241427207,0.5730191564553606,0.5911467410247473,0.5801139677173838,0.33074188232421875
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,rff,gamma x2.0,0.5944092369129265,0.584849486135474,0.5622168002788428,0.5559635362611076,0.3347470760345459
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,tree,"depth=None,it=25",0.6430245681048702,0.6344766761906127,0.5674451028232834,0.5597680613626703,0.3233218193054199
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,tree,"depth=6,it=36",0.6381630349856758,0.6300863285271315,0.5698849773440223,0.5624786248752088,0.35201573371887207
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,knn,k=15,1.0,1.0,0.5779017079121646,0.5547255088021035,0.1477038860321045
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_gender,knn,k=50,1.0,1.0,0.5845242244684559,0.5497716691872017,0.23219895362854004
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_race,lr,wd=1e-05,0.3786977426452612,0.3822266313205474,0.36310299869621904,0.34441295653915627,0.19724082946777344
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_race,lr,wd=0.001,0.3786977426452612,0.3822266313205474,0.36310299869621904,0.34441295653915627,0.19893479347229004
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_race,lr,wd=0.1,0.3786977426452612,0.3822266313205474,0.36310299869621904,0.34441295653915627,0.18899250030517578
rafdb_dinol,dinov2-l14,lda_shrink,1024,4,16,0,,B_race,mlp,"h=256,seed=0",0.42082959823975225,0.45514627077135694,0.37777053455019555,0.3825668869036169,1.436460256576538
